Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-18 13:37:03,2018-03-18 13:37:22,"19,060s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-18 13:37:03,2018-03-18 13:37:14,"10,898s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:04,2018-03-18 13:37:05,"1,421s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:05,2018-03-18 13:37:09,"3,946s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:09,2018-03-18 13:37:09,"0,131s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:09,2018-03-18 13:37:10,"0,653s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:10,2018-03-18 13:37:10,"0,297s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:10,2018-03-18 13:37:10,"0,104s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:10,2018-03-18 13:37:11,"0,659s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:11,2018-03-18 13:37:13,"2,118s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:13,2018-03-18 13:37:13,"0,257s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-18 13:37:13,2018-03-18 13:37:13,"0,037s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:13,2018-03-18 13:37:13,"0,159s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-18 13:37:13,2018-03-18 13:37:13,"0,033s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:13,2018-03-18 13:37:14,"0,819s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-18 13:37:14,2018-03-18 13:37:22,"7,866s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:14,2018-03-18 13:37:15,"0,258s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:15,2018-03-18 13:37:18,"3,013s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:18,2018-03-18 13:37:18,"0,110s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:18,2018-03-18 13:37:18,"0,598s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:18,2018-03-18 13:37:18,"0,112s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:18,2018-03-18 13:37:18,"0,080s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:18,2018-03-18 13:37:19,"0,588s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:19,2018-03-18 13:37:21,"1,949s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:21,2018-03-18 13:37:21,"0,271s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-18 13:37:21,2018-03-18 13:37:21,"0,072s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:37:21,2018-03-18 13:37:21,"0,081s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-18 13:37:21,2018-03-18 13:37:21,"0,010s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:37:21,2018-03-18 13:37:22,"0,707s",PASSED
