Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-18 17:43:51,2018-03-18 17:44:01,"10,345s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-18 17:43:51,2018-03-18 17:44:01,"10,072s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 17:43:51,2018-03-18 17:43:53,"1,204s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 17:43:53,2018-03-18 17:43:56,"3,562s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 17:43:56,2018-03-18 17:43:57,"0,403s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 17:43:57,2018-03-18 17:43:57,"0,589s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 17:43:57,2018-03-18 17:43:57,"0,214s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 17:43:57,2018-03-18 17:43:57,"0,078s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 17:43:57,2018-03-18 17:43:58,"0,584s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 17:43:58,2018-03-18 17:44:00,"1,807s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 17:44:00,2018-03-18 17:44:00,"0,281s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-18 17:44:00,2018-03-18 17:44:00,"0,029s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 17:44:00,2018-03-18 17:44:00,"0,075s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-18 17:44:00,2018-03-18 17:44:00,"0,018s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-18 17:44:00,2018-03-18 17:44:01,"0,216s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 17:44:01,2018-03-18 17:44:01,"0,735s",PASSED
