Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.146,,2018-03-09 08:28:14,2018-03-09 08:28:28,"13,759s",FAILED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.146,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-09 08:28:15,2018-03-09 08:28:22,"7,128s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:15,2018-03-09 08:28:15,"0,035s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:15,2018-03-09 08:28:15,"0,001s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-09 08:28:15,2018-03-09 08:28:20,"4,956s",PASSED
click,Chrome 65.0.3325.146,,2018-03-09 08:28:20,2018-03-09 08:28:20,"0,398s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-09 08:28:20,2018-03-09 08:28:20,"0,181s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-09 08:28:20,2018-03-09 08:28:21,"0,182s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:21,2018-03-09 08:28:21,"0,001s",PASSED
click,Chrome 65.0.3325.146,,2018-03-09 08:28:21,2018-03-09 08:28:21,"0,351s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:21,2018-03-09 08:28:21,"0,001s",PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.146,,2018-03-09 08:28:21,2018-03-09 08:28:21,"0,066s",PASSED
closeBrowser,Chrome 65.0.3325.146,,2018-03-09 08:28:21,2018-03-09 08:28:22,"0,632s",PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.146,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-09 08:28:22,2018-03-09 08:28:27,"5,628s",FAILED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:22,2018-03-09 08:28:22,"0,001s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:22,2018-03-09 08:28:22,"0,000s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-09 08:28:22,2018-03-09 08:28:25,"3,005s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-09 08:28:25,2018-03-09 08:28:26,"1,295s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:26,2018-03-09 08:28:26,"0,001s",PASSED
Statement - If (true),Chrome 65.0.3325.146,,2018-03-09 08:28:26,2018-03-09 08:28:27,"0,802s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 08:28:27,2018-03-09 08:28:27,"0,001s",PASSED
click,Chrome 65.0.3325.146,,2018-03-09 08:28:27,2018-03-09 08:28:27,"0,001s",NOT_RUN
verifyTextPresent,Chrome 65.0.3325.146,,2018-03-09 08:28:27,2018-03-09 08:28:27,"0,385s",FAILED
