Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 64.0.3282.186,,2018-03-20 19:14:57,2018-03-20 19:15:56,58.954s,PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_RestMaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 64.0.3282.186,,2018-03-20 19:14:59,2018-03-20 19:15:31,31.458s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:01,2018-03-20 19:15:04,2.781s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:04,2018-03-20 19:15:18,14.145s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:18,2018-03-20 19:15:19,0.581s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:19,2018-03-20 19:15:19,0.831s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:19,2018-03-20 19:15:20,0.803s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:20,2018-03-20 19:15:21,0.467s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:21,2018-03-20 19:15:22,1.003s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:22,2018-03-20 19:15:26,4.639s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:26,2018-03-20 19:15:28,1.452s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-20 19:15:28,2018-03-20 19:15:28,0.177s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:28,2018-03-20 19:15:28,0.326s,PASSED
acceptAlert,Chrome 64.0.3282.186,,2018-03-20 19:15:28,2018-03-20 19:15:28,0.170s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-20 19:15:29,2018-03-20 19:15:30,1.315s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:30,2018-03-20 19:15:31,0.903s,PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 64.0.3282.186,,2018-03-20 19:15:31,2018-03-20 19:15:56,25.241s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:31,2018-03-20 19:15:38,6.826s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:38,2018-03-20 19:15:39,0.415s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:39,2018-03-20 19:15:40,0.855s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:40,2018-03-20 19:15:40,0.259s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:40,2018-03-20 19:15:48,7.950s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:48,2018-03-20 19:15:49,1.097s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-20 19:15:49,2018-03-20 19:15:49,0.138s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:49,2018-03-20 19:15:49,0.301s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:49,2018-03-20 19:15:53,3.741s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:53,2018-03-20 19:15:54,1.012s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-20 19:15:54,2018-03-20 19:15:54,0.116s,PASSED
click,Chrome 64.0.3282.186,,2018-03-20 19:15:54,2018-03-20 19:15:55,0.429s,PASSED
acceptAlert,Chrome 64.0.3282.186,,2018-03-20 19:15:55,2018-03-20 19:15:55,0.050s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-20 19:15:55,2018-03-20 19:15:56,0.951s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-20 19:15:56,2018-03-20 19:15:56,0.364s,PASSED
